P,num_trading_agents_SM
0.02,22
0.49,305
0.54,308
0.56,299
0.05,53
0.41,297
0.39,289
0.4,295
0.55,302
0.42,302
0.36,280
0.01,12
0.23,203
0.27,229
0.38,289
0.65,268
0.43,301
0.46,305
0.52,312
0.51,313
0.22,196
0.03,31
0.16,140
0.44,307
0.31,254
0.28,230
0.26,220
0.29,237
0.53,312
0.32,264
0.1,96
0.37,287
0.5,308
0.48,306
0.45,306
0.24,209
0.47,309
0.07,73
0.57,292
0.35,275
0.08,82
0.25,215
0.09,91
0.18,160
0.58,294
0.2,179
0.59,289
0.15,134
0.06,62
0.04,44
0.14,126
0.33,268
0.13,117
0.69,249
0.11,102
0.68,251
0.71,234
0.3,247
0.34,271
0.7,236
0.6,286
0.21,186
0.17,150
0.62,272
0.12,109
0.66,264
0.72,233
0.63,276
0.73,229
0.19,171
0.67,257
0.74,224
0.61,281
0.77,196
0.78,194
0.75,214
0.8,188
0.76,207
0.99,13
0.82,175
0.96,41
0.64,273
0.9,104
0.81,181
0.95,52
0.91,97
0.79,189
0.93,74
0.87,133
0.84,156
0.97,30
0.83,165
0.89,110
0.86,144
0.88,117
0.92,84
0.85,151
0.98,20
0.94,66
