P,num_trading_agents_CPP
0.46,500
0.0,0
0.48,500
0.01,88
0.44,500
0.07,243
0.58,500
0.45,500
0.02,123
0.19,395
0.09,279
0.03,163
0.59,500
0.36,489
0.53,500
0.12,306
0.28,460
0.34,488
0.43,500
0.4,497
0.5,500
0.52,500
0.49,500
0.35,488
0.2,402
0.05,212
0.65,500
0.06,225
0.64,500
0.86,500
0.27,451
0.23,426
0.89,500
0.13,321
0.08,263
0.9,500
0.95,500
0.96,500
0.97,500
0.98,500
0.99,500
1.0,2
0.91,500
0.04,195
0.33,480
0.94,500
0.11,295
0.67,499
0.54,500
0.92,500
0.88,500
0.62,500
0.15,343
0.85,500
0.63,500
0.7,500
0.87,500
0.51,500
0.1,288
0.14,333
0.31,478
0.69,500
0.18,383
0.32,481
0.61,500
0.72,500
0.38,491
0.41,500
0.3,473
0.29,468
0.16,359
0.79,500
0.6,500
0.42,500
0.78,500
0.93,500
0.47,500
0.17,373
0.37,491
0.66,500
0.68,500
0.22,421
0.39,495
0.21,410
0.76,500
0.24,432
0.57,499
0.71,500
0.56,499
0.55,499
0.73,500
0.84,499
0.74,500
0.75,500
0.77,500
0.8,500
0.82,500
0.81,500
0.83,500
0.25,437
0.26,445
